id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price
15556812,Sagrada Familia SPB322388,54820821,Albert,el Camp d'en Grassot i Gràcia Nova,41.40542,2.16913,Entire home/apt,1,168,2020-11-09,3.3,20,305,304.98
43307579,Triple Room  private bathroom Catalunya Square,341221467,Amra Caspe,la Dreta de l'Eixample,41.39078,2.17191,Private room,1,0,,,7,324,323.99
41542704,Modern & Beautiful 3Bedroom w/Terrace in Barcelona,325854923,Javier,la Nova Esquerra de l'Eixample,41.38016,2.15517,Entire home/apt,32,0,,,1,265,264.42
34341390,"Spacious Duplex with a bright room ,firm bed...",3480802,Paul,el Camp de l'Arpa del Clot,41.41001,2.17868,Private room,3,18,2019-10-05,0.84,1,0,0.0
31576196,Habitación muy luminosa de cama doble en Gracia,36607755,Igor,la Vila de Gràcia,41.3982,2.1615,Private room,32,0,,,97,286,285.99
19884922,"HABITACIONES ACOGEDORAS EN PUEBLONUEVO, BARCELONA",140739441,Toni,el Parc i la Llacuna del Poblenou,41.40246,2.19703,Private room,3,27,2020-08-24,0.62,1,36,36.11
36123787,Gernika. (Apto 10).,128069327,Josu,"Sant Pere, Santa Caterina i la Ribera",41.38344,2.18207,Entire home/apt,32,1,2019-08-26,0.06,4,180,180.0
31096282,"Long term. Beautiful Born, Sunny Terrace",232344569,Albert,"Sant Pere, Santa Caterina i la Ribera",41.38283,2.18185,Entire home/apt,30,12,2021-01-04,0.48,1,323,322.96
46582679,Double private bedroom in shared flat,376647525,Yao,Provençals del Poblenou,41.40712,2.19231,Private room,30,0,,,2,325,325.0
46649805,UD Apartments - Luxury Beach Apartment with Terrace,156294948,Lorenzo,el Poblenou,41.39874,2.20888,Entire home/apt,1,0,,,21,332,331.7
34893534,Cera - Loft con terraza grande en centro de Raval,9478280,Simona & Pia,el Raval,41.37777,2.16661,Entire home/apt,32,0,,,45,363,363.0
13288653,HABITACIÓN DOBLE EN BARCELONA,74971839,Esther,el Carmel,41.42376,2.15657,Private room,2,27,2019-08-17,0.47,1,344,344.02
42250002,Habitacion doble luminosa,332287994,Miguel,la Sagrada Família,41.40951,2.17218,Private room,1,0,,,1,365,365.0
16247653,Be Surrounded by History at a Romantic Flat in Barrio Gótic,2517389,Sara,el Barri Gòtic,41.38345,2.17796,Entire home/apt,32,6,2019-11-22,0.13,2,344,343.93
40295570,Habitació a l’eixample en un pis molt lluminós!!,8544582,Gemma,l'Antiga Esquerra de l'Eixample,41.39286,2.15529,Private room,30,0,,,1,0,0.0
42271564,Habitación cerca de Sants,335866132,Gabriela,la Nova Esquerra de l'Eixample,41.38262,2.14712,Private room,2,0,,,1,90,90.0
41727706,PRIVATE APARTMENT ** 4 rooms 3 bathrooms **.,312538029,Nomads Coliving,"Sant Pere, Santa Caterina i la Ribera",41.38603,2.1769,Entire home/apt,31,0,,,25,0,0.0
47461361,Nice room for 2 in Gothic (A),340157793,Evgenii,el Barri Gòtic,41.38091,2.17919,Private room,1,2,2021-01-23,2.0,4,0,0.0
43314983,3 Bedroom apartament in the city center,343305144,Eva,l'Antiga Esquerra de l'Eixample,41.38305,2.1587,Entire home/apt,32,0,,,27,87,87.0
